1 600519 貴州茅台 853,128,665 342,348,008 1,195,476,673 
2 601318 中國平安 561,484,274 302,679,335 864,163,609 
3 600887 伊利股份 233,285,546 125,283,075 358,568,621 
4 601166 興業銀行 132,514,119 218,725,513 351,239,632 
5 601668 中國建築 82,790,075 257,319,010 340,109,085 
6 600036 招商銀行 169,959,268 161,637,038 331,596,306 
7 600690 青島海爾 154,147,085 165,928,810 320,075,895 
8 600030 中信證券 149,559,440 144,079,410 293,638,850 
9 600276 恒瑞醫藥 159,061,855 104,201,076 263,262,931 
10 600019 寶鋼股份 96,323,383 131,761,088 228,084,471 

1 858 五糧液 229,870,782 391,890,059 621,760,841 
2 651 格力電器 203,652,729 342,244,536 545,897,265 
3 2415 海康威視 339,727,787 105,157,273 444,885,060 
4 333 美的集團 227,315,891 127,865,004 355,180,895 
5 725 京東方Ａ 168,485,410 117,263,698 285,749,108 
6 2027 分眾傳媒 166,868,759 63,949,604 230,818,363 
7 2 萬科Ａ 135,020,517 90,814,136 225,834,653 
8 1 平安銀行 86,910,199 124,607,977 211,518,176 
9 2304 洋河股份 93,890,446 115,478,872 209,369,318 
10 2008 大族激光 111,893,017 66,074,818 177,967,835 
