ID,Name,Lot
00001,CKH HOLDINGS,500
00002,CLP HOLDINGS,500
00003,HK & CHINA GAS,1000
00004,WHARF HOLDINGS,1000
00005,HSBC HOLDINGS,400
00006,POWER ASSETS,500
00007,HOIFU ENERGY,2000
00008,PCCW,1000
00009,NINE EXPRESS,6000
00010,HANG LUNG GROUP,1000
00011,HANG SENG BANK,100
00012,HENDERSON LAND,1000
00014,HYSAN DEV,1000
00015,VANTAGE INT'L,2000
00016,SHK PPT,1000
00017,NEW WORLD DEV,1000
00018,ORIENTAL PRESS,2000
00019,SWIRE PACIFIC A,500
00020,WHEELOCK,1000
00021,GREAT CHI PPT,5000
00022,MEXAN,40000
00023,BANK OF E ASIA,200
00024,BURWILL,2000
00025,CHEVALIER INT'L,2000
00026,CHINA MOTOR BUS,200
00027,GALAXY ENT,1000
00028,TIAN AN,1000
00029,DYNAMIC HOLD,2000
00030,BAN LOONG HOLD,2000
00031,CHINA AEROSPACE,2000
00032,CROSS-HAR(HOLD),1000
00033,ASIA INV FIN,2000
00034,KOWLOON DEV,1000
00035,FE CONSORT INTL,1000
00036,FE HLDGS INTL,3000
00037,FE HOTELS,2000
00038,FIRST TRACTOR,2000
00039,CH BEIDAHUANG,8000
00040,GOLD PEAK,1000
00041,GREAT EAGLE H,1000
00042,NE ELECTRIC,2000
00043,C.P. POKPHAND,2000
00044,HAECO,400
00045,HK&S HOTELS,500
00046,COMPUTER & TECH,2000
00047,HOP HING GROUP,4000
00048,C AUTO INT DECO,10000
00050,HK FERRY (HOLD),1000
00051,HARBOUR CENTRE,1000
00052,FAIRWOOD HOLD,500
00053,GUOCO GROUP,1000
00054,HOPEWELL HOLD,500
00055,NEWAY GROUP,10000
00056,ALLIED PPT (HK),2000
00057,CHEN HSONG HOLD,2000
00058,SUNWAY INT'L,20000
00059,SKYFAME REALTY,2000
00060,HK FOOD INV,2000
00061,NORTH ASIA RES,5000
00062,TRANSPORT INT'L,400
00063,CHINA GRAPHENE,1000
00064,GET NICE,2000
00065,GRAND OCEAN AR,4000
00066,MTR CORPORATION,500
00067,LUMENA NEWMAT,2000
00068,LEE HING,1000
00069,SHANGRI-LA ASIA,2000
00070,NEPTUNE GROUP,10000
00071,MIRAMAR HOTEL,1000
00072,MODERN MEDIA,2000
00073,ASIAN CITRUS,1000
00075,Y.T. REALTY,2000
00076,SOUTH SEA PETRO,4000
00077,AMS TRANSPORT,2000
00078,REGAL INT'L,2000
00079,CENTURY LEGEND,4000
00081,CH OVS G OCEANS,1000
00082,V1 GROUP,2000
00083,SINO LAND,2000
00084,STELUX HOLDINGS,1000
00085,CHINA ELECTRON,2000
00086,SUN HUNG KAI CO,1000
00087,SWIRE PACIFIC B,2500
00088,TAI CHEUNG HOLD,1000
00089,TAI SANG LAND,1000
00090,AMBER ENERGY,2000
00091,INT'L STD RES,25000
00092,CHAMPION TECH,2000
00093,TERMBRAY IND,2000
00094,GREENHEART GP,2000
00095,LVGEM CHINA,4000
00096,YUSEI,2000
00097,HENDERSON INV,1000
00098,XINGFA ALUM,1000
00099,WONG'S INT'L,1000
00100,CLEAR MEDIA,1000
00101,HANG LUNG PPT,1000
00102,SUMMIT ASCENT,2000
00103,SHOUGANG CENT,2000
00104,ASIA COMM HOLD,5000
00105,ASSO INT HOTELS,2000
00106,LANDSEA PPT,4000
00107,SICHUAN EXPRESS,2000
00108,GR PROPERTIES,2000
00109,GOODRESOURCES,10000
00110,CHINA FORTUNE,2000
00111,CINDA INTL HLDG,2000
00112,LT COMM REALEST,2000
00113,DICKSON CONCEPT,500
00114,HERALD HOLD,5000
00115,GRAND FIELD GP,10000
00116,CHOW SANG SANG,1000
00117,TIANLI HOLDINGS,2000
00118,COSMOS MACH,2000
00119,POLY PROPERTY,1000
00120,COSMOPOL INT'L,20000
00121,C.P. LOTUS,10000
00122,CROCODILE,1000
00123,YUEXIU PROPERTY,2000
00124,GD LAND,2000
00125,SUN HING VISION,2000
00126,CARRIANNA,2000
00127,CHINESE EST H,500
00128,ENM HOLDINGS,4000
00129,ASIA STANDARD,2000
00130,MOISELLE INT'L,2000
00131,CHEUK NANG HOLD,1000
00132,CHINA INV HOLD,1000
00135,KUNLUN ENERGY,2000
00136,HENGTEN NET,4000
00137,JINHUI HOLDINGS,1000
00138,CCT FORTIS,2000
00139,CH SOFT POWER,14000
00141,GREAT CHINA,2000
00142,FIRST PACIFIC,2000
00143,GLOBAL TECH,2000
00144,CHINA MER PORT,2000
00145,HK BLDG & LOAN,8000
00146,TAI PING CARPET,1000
00147,IB SETTLEMENT,5000
00148,KINGBOARD CHEM,500
00149,CH AGRI-PROD EX,5000
00151,WANT WANT CHINA,1000
00152,SHENZHEN INT'L,500
00153,CHINA SAITE,2000
00154,BE ENVIRONMENT,1000
00155,CHINA SOLAR,10000
00156,LIPPO CHINA RES,10000
00157,NATURAL BEAUTY,10000
00158,MELBOURNE ENT,500
00159,BROCKMAN MINING,4000
00160,HON KWOK LAND,2000
00161,AVIC IHL,2000
00162,CENTURY GINWA,2000
00163,EMPEROR INT'L,2000
00164,CHINA BAOLI TEC,25000
00165,CHINA EB LTD,2000
00166,NEWTIMES ENERGY,2000
00167,IDT INT'L,2000
00168,TSINGTAO BREW,2000
00169,WANDA HOTEL DEV,1000
00171,SILVER GRANT,2000
00172,GOLDBOND GROUP,10000
00173,K. WAH INT'L,1000
00174,GEMINI INV,2000
00175,GEELY AUTO,5000
00176,UNITED PACIFIC,2000
00177,JIANGSU EXPRESS,2000
00178,SA SA INT'L,2000
00179,JOHNSON ELEC H,500
00180,KADER HOLDINGS,2000
00181,FUJIAN HOLDINGS,20000
00182,CONCORD NE,10000
00183,WINFULL GP,8000
00184,KECK SENG INV,2000
00185,ZH INT'L HOLD,10000
00186,GRANDE HOLDINGS,30000
00187,JINGCHENG MAC,2000
00188,SUNWAH KINGSWAY,10000
00189,DONGYUE GROUP,1000
00190,HKC (HOLDINGS),1000
00191,LAI SUN INT'L,5000
00193,CAPITAL ESTATE,15000
00194,LIU CHONG HING,2000
00195,L'SEA RESOURCES,10000
00196,HONGHUA GROUP,1000
00197,HENG TAI,5000
00198,SMI HOLDINGS,4000
00199,ITC PROPERTIES,1000
00200,MELCO INT'L DEV,1000
00201,MAGNIFICENT,2000
00202,EVERCHINA INT'L,5000
00205,SEEC MEDIA,20000
00206,TSC GROUP,1000
00207,JOY CITY PPT,2000
00208,POLYTEC ASSET,5000
00209,WINSHINE SCI,4000
00210,DAPHNE INT'L,2000
00211,STYLAND HOLD,10000
00212,NANYANG HOLD,500
