1 00700 騰訊控股 1,133,844,640 1,927,398,460 3,061,243,100 
2 00005 匯豐控股 1,099,978,400 3,187,480 1,103,165,880 
3 02318 中國平安 583,560,600 421,716,925 1,005,277,525 
4 02238 廣汽集團 367,180,320 258,166,080 625,346,400 
5 02018 瑞聲科技 334,685,600 257,444,800 592,130,400 
6 00175 吉利汽車 330,068,450 239,424,500 569,492,950 
7 01918 融創中國 186,114,850 326,884,550 512,999,400 
8 02382 舜宇光學科技 194,680,500 255,733,200 450,413,700 
9 01336 新華保險 164,296,730 241,033,285 405,330,015 
10 00966 中國太平 180,739,400 184,415,310 365,154,710 

1 00700 騰訊控股 292,176,680 608,172,500 900,349,180 
2 00175 吉利汽車 193,838,050 206,060,450 399,898,500 
3 02318 中國平安 120,013,025 230,026,550 350,039,575 
4 02018 瑞聲科技 102,777,600 172,342,850 275,120,450 
5 00763 中興通訊 142,326,110 122,893,710 265,219,820 
6 02382 舜宇光學科技 60,341,900 198,756,100 259,098,000 
7 01918 融創中國 110,098,050 106,724,950 216,823,000 
8 00966 中國太平 64,601,940 104,793,060 169,395,000 
9 01339 中國人民保險集團 57,587,060 63,551,800 121,138,860 
10 01336 新華保險 17,490,780 102,763,655 120,254,435 
