1 00700 騰訊控股 234,161,100 677,528,940 911,690,040 
2 01398 工商銀行 73,954,460 597,693,044 671,647,504 
3 03988 中國銀行 89,493,470 461,404,490 550,897,960 
4 01088 中國神華 69,103,175 405,328,000 474,431,175 
5 02018 瑞聲科技 156,012,550 304,648,600 460,661,150 
6 00998 中信銀行 19,134,010 386,078,400 405,212,410 
7 00939 建設銀行 64,251,350 329,316,250 393,567,600 
8 01288 農業銀行 79,165,380 308,764,720 387,930,100 
9 01918 融創中國 201,703,000 162,319,350 364,022,350 
10 02238 廣汽集團 60,204,440 200,121,830 260,326,270 

1 00700 騰訊控股 79,281,900 408,026,380 487,308,280 
2 01055 中國南方航空股份 101,701,280 136,401,520 238,102,800 
3 01548 金斯瑞生物科技 98,905,300 85,838,900 184,744,200 
4 01918 融創中國 91,230,650 74,411,850 165,642,500 
5 02601 中國太保 87,395,470 77,503,690 164,899,160 
6 01030 新城發展控股 26,514,740 133,620,760 160,135,500 
7 02689 玖龍紙業 135,611,720 14,638,020 150,249,740 
8 02318 中國平安 13,414,975 130,954,375 144,369,350 
9 01398 工商銀行 7,939,250 135,271,460 143,210,710 
10 00388 香港交易所 26,764,780 102,318,260 129,083,040 
